年月,港口別,總計,國際貨櫃貨,散雜貨,管道貨
200205,基隆港,8058164,6207489,1368571,482104
200205,臺中港,7154431,3707964,2601098,845369
200205,高雄港,35396467,26201466,5748261,3446740
200205,花蓮港,1387288,0,1382665,4623
200205,臺北港,0,0,0,0
200205,蘇澳港,460497,0,219161,241336
200205,安平港,229119,9468,178871,40780
200206,國際商港,51321703,35771832,10959437,4590434
200206,基隆港,7697077,5994531,1176667,525879
200206,臺中港,7004215,3563100,2601446,839669
200206,高雄港,34756580,26209305,5592868,2954407
200206,花蓮港,1202958,0,1176838,26120
200206,臺北港,0,0,0,0
200206,蘇澳港,463745,0,247903,215842
200206,安平港,197128,4896,163715,28517
200207,國際商港,52180857,35957961,11253426,4969470
200207,基隆港,7713650,5905971,1393539,414140
200207,臺中港,6743643,3482226,2328508,932909
200207,高雄港,35512777,26555004,5661997,3295776
200207,花蓮港,1527693,0,1501496,26197
200207,臺北港,0,0,0,0
200207,蘇澳港,467802,0,196354,271448
200207,安平港,215292,14760,171532,29000
200208,國際商港,52947602,35994330,11952416,5000856
200208,基隆港,8097524,5997258,1607694,492572
200208,臺中港,6995007,3634488,2543344,817175
200208,高雄港,35647095,26353404,5827101,3466590
200208,花蓮港,1504919,0,1474658,30261
200208,臺北港,0,0,0,0
200208,蘇澳港,485707,0,323059,162648
200208,安平港,217350,9180,176560,31610
200209,國際商港,50997651,34982415,11418297,4596939
200209,基隆港,7202211,5490243,1256826,455142
200209,臺中港,6713924,3256884,2671214,785826
200209,高雄港,34842337,26226792,5588410,3027135
200209,花蓮港,1474462,0,1440976,33486
200209,臺北港,0,0,0,0
200209,蘇澳港,525491,0,268341,257150
200209,安平港,239226,8496,192530,38200
200210,國際商港,52908483,36256815,11549229,5102439
200210,基隆港,7854838,6142824,1333037,378977
200210,臺中港,7251961,3952872,2442806,856283
200210,高雄港,35342973,26151759,5674412,3516802
200210,花蓮港,1629637,0,1592709,36928
200210,臺北港,0,0,0,0
200210,蘇澳港,541375,0,275716,265659
200210,安平港,287699,9360,230549,47790
